Product Name,Price (€),Pack Size (g),Serving Size (servings),Energy (kcal),Fat (g),Saturates (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
Taco Stand ‚ÄòN‚Äô Stuff Paprika & Garlic Kit,1.4,312,10,301,14.4 g,1.3 g,37.1 g,2.8 g,3.5 g,3.9 g,1.88 g
Strawberry Low Fat Yogurt,1.05,450,4,64,0.9g,0.6g,11.3g,9.1g,0.4g,2.5g,0.06g
Sea Salt & Black Pepper Cracker,1.52,185,16,472,21g,6.0g,59g,3.3g,2.7g,9.6g,0.72g
Aha! Sezamki Bar,1.17,27,1,502,25 g,"3,9 g",54 g,38 g,"6,4 g",11 g,"0,01 g"
Very Low Fat Natural Yogurt,3.16,1000,8,42,0.2g,0.11g,6.4g,3.0g,<0.5g,3.63g,0.14g
Multivitamins Sparkling Lemon & Lime,4.1,1000,5,1,0g,0g,0g,0g,0.0g,0g,0g
Corona,23.4,1320,4,42,0 g,0 g,4.0 g,0.2 g,0.0g,0.3 g,0 g
Free From Chocolate Bar,1.17,38,1,557,36g,20g,55g,35g,2.0g,1.9g,0.14g
Crusty White Farmhouse Loaf Sliced,2.63,800,16,257,1.3g,0.3g,50.5g,2.7g,2.0g,9.8g,0.74g
Alcohol Free Beer Mixed Pack,22.23,2640,8,15,<0.1g,<0.1g,3.0g,1.8g,0.0g,0.1g,<0.1g
Kielbasa Podsuszana,2.34,260,4,313,23 g,"9,2 g","2,0 g","1,0 g",0.0g,25 g,"2,5 g"
Unsmoked Drycure Back Bacon,2.05,240,4,260,19.7g,6.9g,1.1g,0.3g,0.6g,19.2g,2.4g
So Juicy Sticky Bbq For Chicken,11.7,47,4,367,1.8g,0.5g,79.1g,59.5g,2.0g,3.7g,5.42g
4 Toddler Formula Milk Powder 2+ Years,7.02,800,20,55,2.3 g,0.6 g,7.3 g,5.9 g,<0.5 g,1.1 g,0.05 g
Sweet Chilli & Garlic Stir Fry Sauce,2.93,120,2,159,0.7g,0.1g,37.5g,32.8g,0.5g,0.4g,0.84g
Pomegranate Sauce,1.76,170,17,229,0.7g,0.2g,53.1g,46.4g,0.1g,0.5g,1.57g
Rosemary & Garlic Crispy Potato Seasoning,2.91,60,8,325,2.3g,1.0g,61.5g,3.5g,13.1g,8.1g,7.82g
Ready Salted Crisps,6.79,150,6,533,32.2g,3.3g,52.8g,0.5g,4.2g,5.8g,1.2g
Hi Juice Orange/Mango & Passion Fruit,7.02,1000,20,6,0.0g,<0.1g,1.0g,1.0g,0.0g,0.1g,0.1g
